address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
"414 Grant Street, 5th Floor, Pittsburgh, PA 15219",AT-LARGE,,PITTSBURGH,CITY,William Peduto,MAYOR,,,,https://pittsburghpa.gov/mayor/mayor-contact,False
"City-County Building, 414 Grant Street, Pittsburgh, PA 15219",DISTRICT 5,district5@pittsburghpa.gov,PITTSBURGH,CITY,Corey O'Connor,MEMBER OF COUNCIL,4122558965,,,https://pittsburghpa.gov/council/d5-contacts,False
"City-County Building, Suite 510/Floor 5, 414 Grant Street, Pittsburgh, PA 15219",DISTRICT 3,,PITTSBURGH,CITY,Bruce Kraus,MEMBER OF COUNCIL,4122552130,,,https://pittsburghpa.gov/council/d3-contacts,False
"510 City-County Building, 414 Grant Street, Pittsburgh, PA 15219",DISTRICT 2,theresa.kail-smith@pittsburghpa.gov,PITTSBURGH,CITY,Theresa Kail-Smith,MEMBER OF COUNCIL,4122558963,,,https://pittsburghpa.gov/council/d2-contacts,False
"City-County Building, 414 Grant Street, Pittsburgh, PA 15219",DISTRICT 1,,PITTSBURGH,CITY,Bobby Wilson,MEMBER OF COUNCIL,4122552135,,,https://pittsburghpa.gov/council/d1-contacts,False
"City-County Building, Suite 510, 414 Grant Street, Pittsburgh, PA 15219",DISTRICT 4,,PITTSBURGH,CITY,Anthony Coghill,MEMBER OF COUNCIL,4122552131,,,https://pittsburghpa.gov/council/d4-contacts,False
"City-County Building, 414 Grant Street, Pittsburgh, PA 15219",DISTRICT 6,,PITTSBURGH,CITY,R. Daniel Lavelle,MEMBER OF COUNCIL,4122552134,,,https://pittsburghpa.gov/council/d6-contacts,False
"City-County Building, 1st Floor, 414 Grant Street, Pittsburgh, Pennsylvania 15219",AT-LARGE,City_Controller@pittsburghpa.gov,PITTSBURGH,CITY,Michael E. Lamb,CONTROLLER,4122552054,,,https://pittsburghpa.gov/controller/controller-bio,False
"City-County Building, 414 Grant Street, Pittsburgh, PA 15219",DISTRICT 9,reverend.burgess@pittsburghpa.gov,PITTSBURGH,CITY,Rev. Ricky V. Burgess,MEMBER OF COUNCIL,4122552137,,,https://pittsburghpa.gov/council/d9-contacts,False
"City-County Building, 414 Grant Street, Pittsburgh, PA 15219",DISTRICT 7,district7@pittsburghpa.gov,PITTSBURGH,CITY,Deb Gross,MEMBER OF COUNCIL,4122552140,,,https://pittsburghpa.gov/council/d7-contacts,False
"City-County Building, 414 Grant Street, Pittsburgh, PA 15219",DISTRICT 8,erika.strassburger@pittsburghpa.gov,PITTSBURGH,CITY,Erika Strassburger,MEMBER OF COUNCIL,4122552133,,,https://pittsburghpa.gov/council/d8-contacts,False
