address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,WARD 1,commward1@ross.pa.us,ROSS,TOWNSHIP,Daniel DeMarco,COMMISSIONER,,,,https://www.ross.pa.us/245/Board-of-Commissioners,False
,WARD 2,commward2@ross.pa.us,ROSS,TOWNSHIP,Steve Korbel,COMMISSIONER,,,,https://www.ross.pa.us/245/Board-of-Commissioners,False
,WARD 3,commward3@ross.pa.us,ROSS,TOWNSHIP,Sarah Poweska,COMMISSIONER,,,,https://www.ross.pa.us/245/Board-of-Commissioners,False
,WARD 4,commward4@ross.pa.us,ROSS,TOWNSHIP,Joe Laslavic,COMMISSIONER,,,,https://www.ross.pa.us/245/Board-of-Commissioners,False
,WARD 5,commward5@ross.pa.us,ROSS,TOWNSHIP,William McKellar,COMMISSIONER,,,,https://www.ross.pa.us/245/Board-of-Commissioners,False
,WARD 6,commward6@ross.pa.us,ROSS,TOWNSHIP,Jason Pirring,COMMISSIONER,,,,https://www.ross.pa.us/245/Board-of-Commissioners,False
,AT-LARGE,taxcollector@ross.pa.us,ROSS,TOWNSHIP,Matt Mager,TAX COLLECTOR,4122660669,,,https://www.ross.pa.us/225/Other-Elected-Officials,False
,WARD 7,commward7@ross.pa.us,ROSS,TOWNSHIP,Pat Mullin,COMMISSIONER,,,,https://www.ross.pa.us/245/Board-of-Commissioners,False
,WARD 8,commward8@ross.pa.us,ROSS,TOWNSHIP,Franny Salachup,COMMISSIONER,,,,https://www.ross.pa.us/245/Board-of-Commissioners,False
,WARD 9,commward9@ross.pa.us,ROSS,TOWNSHIP,Jack Betkowski,COMMISSIONER,,,,https://www.ross.pa.us/245/Board-of-Commissioners,False
